#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4493.9020	45.0677	101.0609	4392.8411	4538.9697
logg	4.8790	0.6176	0.7740	4.1050	5.4966
[Fe/H]	0.1672	0.4348	0.7527	-0.5855	0.6020
dist	85.3640	0.8633	0.7137	84.6503	86.2273
rad	0.7128	0.0313	0.0227	0.6901	0.7441
Av	0.0108	0.0543	0.0525	-0.0418	0.0651
grav_mass	0.3309	3.3829	0.2900	0.0409	3.7137
lum	0.1841	0.0197	0.0185	0.1656	0.2038
AD	0.0777	0.0035	0.0027	0.0751	0.0812
age	1.7677	7.9477	1.7063	0.0614	9.7154
iso_mass	0.7553	0.0318	0.0364	0.7189	0.7870
eep	334.8573	13.6000	55.9691	278.8881	348.4572
H_noise	0.0665	0.2504	0.0711	-0.0047	0.3168
J_noise	0.0375	0.2096	0.0524	-0.0149	0.2471
Ks_noise	0.0513	0.2210	0.0593	-0.0079	0.2723
V_noise	0.1073	0.3442	0.1298	-0.0225	0.4516
B_noise	0.1017	0.1423	0.0832	0.0185	0.2440
BT_noise	0.4397	2.9594	0.6486	-0.2090	3.3991
VT_noise	0.5591	1.4706	0.5456	0.0136	2.0298
G_noise	0.0021	0.0016	0.0019	0.0002	0.0038
RP_noise	0.0061	0.0069	0.0046	0.0015	0.0130
BP_noise	0.0193	0.0163	0.0174	0.0019	0.0355
SDSS_g_noise	0.0958	0.2710	0.0973	-0.0015	0.3668
SDSS_i_noise	0.0579	0.2098	0.0678	-0.0099	0.2677
SDSS_r_noise	0.0293	0.0351	0.0206	0.0087	0.0644
W1_noise	0.0379	0.1927	0.0439	-0.0060	0.2306
W2_noise	0.0743	0.1757	0.0807	-0.0064	0.2499
