#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5232.6869	84.9709	74.5129	5158.1740	5317.6578
logg	4.4628	0.5388	0.7851	3.6777	5.0016
[Fe/H]	0.3302	0.1868	0.4120	-0.0819	0.5169
dist	28.0876	0.1726	0.1558	27.9318	28.2602
rad	0.7460	0.0289	0.0265	0.7194	0.7748
Av	0.0000	(FIXED)
grav_mass	0.2022	1.0300	0.1626	0.0396	1.2323
lum	0.3763	0.0389	0.0343	0.3420	0.4152
AD	0.2465	0.0100	0.0085	0.2380	0.2565
age	1.7075	6.0246	1.6635	0.0439	7.7320
iso_mass	0.8166	0.0311	0.0536	0.7630	0.8478
eep	336.8408	19.5541	48.3102	288.5306	356.3949
H_noise	0.0646	0.2194	0.0743	-0.0097	0.2841
J_noise	0.0379	0.1670	0.0566	-0.0187	0.2049
Ks_noise	0.0418	0.1449	0.0491	-0.0073	0.1867
V_noise	0.0167	0.0833	0.0236	-0.0069	0.1000
B_noise	0.1045	0.1135	0.0603	0.0441	0.2179
BT_noise	0.1098	0.1666	0.0647	0.0452	0.2764
VT_noise	0.0292	0.1072	0.0327	-0.0035	0.1365
b_noise	0.0142	0.0519	0.0164	-0.0022	0.0660
u_noise	0.5779	0.2213	0.1560	0.4219	0.7992
v_noise	0.0295	0.1233	0.0366	-0.0071	0.1528
y_noise	0.0134	0.0389	0.0140	-0.0006	0.0523
G_noise	0.0030	0.0037	0.0028	0.0001	0.0066
RP_noise	0.0231	0.0159	0.0094	0.0138	0.0390
BP_noise	0.0076	0.0139	0.0076	-0.0000	0.0214
W1_noise	0.1344	0.6621	0.2010	-0.0666	0.7965
W2_noise	0.0804	0.2889	0.0933	-0.0129	0.3693
