#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3955.2561	110.9902	94.4917	3860.7644	4066.2463
logg	4.4318	0.3357	0.4056	4.0262	4.7675
[Fe/H]	-0.0257	0.2012	0.2046	-0.2303	0.1755
dist	4.8680	0.0039	0.0039	4.8642	4.8720
rad	0.7208	0.0723	0.0690	0.6518	0.7932
Av	0.0000	(FIXED)
grav_mass	0.3781	0.5219	0.2409	0.1372	0.9001
lum	0.1146	0.0270	0.0235	0.0911	0.1415
AD	1.3772	0.1381	0.1318	1.2453	1.5152
age	1.1780	10.1018	1.1725	0.0055	13.444517902289883
iso_mas	0.6861	0.0398	0.0475	0.4305	0.7991102727537032
eep	330.1462	14.6869	55.9502	139.9154	348.3300067717848
H_noise	0.5245	1.5208	0.4167	0.1078	2.0453
J_noise	0.6001	1.7408	0.5008	0.0993	2.3409
Ks_noise	0.5423	1.4691	0.4345	0.1077	2.0114
U_noise	0.0859	0.1061	0.0672	0.0187	0.1920
V_noise	0.0194	0.0249	0.0146	0.0048	0.0443
B_noise	0.0421	0.0522	0.0296	0.0125	0.0943
BT_noise	0.1047	0.0951	0.0548	0.0499	0.1998
VT_noise	0.0282	0.0567	0.0219	0.0063	0.0849
b_noise	0.0810	0.2034	0.0659	0.0151	0.2844
u_noise	1.0422	0.4152	0.2834	0.7588	1.4573
v_noise	0.3317	0.2430	0.1458	0.1860	0.5747
y_noise	0.0872	0.1935	0.0715	0.0157	0.2807
