#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3976.3698	131.3888	167.2221	3809.1477	4107.7585
logg	4.4656	0.4952	0.6349	3.8307	4.9608
[Fe/H]	0.0511	0.2238	0.3787	-0.3277	0.2749
dist	4.8683	0.0053	0.0058	4.8625	4.8737
rad	0.7178	0.1120	0.0984	0.6195	0.8299
Av	0.0000	(FIXED)
grav_mass	0.3169	0.7294	0.2084	0.1085	1.0463
lum	0.1142	0.0398	0.0342	0.0800	0.1539
AD	1.3715	0.2142	0.1881	1.1834	1.5857
age	1.1780	10.1018	1.1725	0.0055	11.2798
iso_mass	0.6861	0.0398	0.0475	0.6386	0.7259
eep	330.1462	14.6869	55.9502	274.1960	344.8331
H_noise	0.3559	1.8672	0.5092	-0.1533	2.2231
J_noise	0.3927	2.0832	0.5952	-0.2025	2.4759
Ks_noise	0.3849	1.7429	0.5262	-0.1412	2.1278
U_noise	0.0474	0.1715	0.0526	-0.0052	0.2189
V_noise	0.0112	0.0383	0.0121	-0.0009	0.0494
B_noise	0.0325	0.0756	0.0328	-0.0003	0.1081
BT_noise	0.0857	0.1367	0.0636	0.0221	0.2224
VT_noise	0.0180	0.0724	0.0223	-0.0044	0.0903
b_noise	0.0507	0.2502	0.0709	-0.0202	0.3009
u_noise	0.9721	0.6577	0.3946	0.5775	1.6297
v_noise	0.2730	0.3640	0.1596	0.1134	0.6370
y_noise	0.0531	0.2480	0.0730	-0.0199	0.3011
