# Filter Magnitude Uncertainty
2MASS_H 3.2980 0.2600
2MASS_J 3.8940 0.2900
2MASS_Ks 2.9620 0.2880
GROUND_JOHNSON_U 9.2470 0.0300
GROUND_JOHNSON_V 6.5980 0.0300
GROUND_JOHNSON_B 7.9610 0.0300
TYCHO_B_MvB 8.3400 0.0300
TYCHO_V_MvB 6.7510 0.0300
STROMGREN_b 7.3620 0.0351
STROMGREN_u 10.4480 0.0682
STROMGREN_v 8.8810 0.0434
STROMGREN_y 6.5700 0.0350
