#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5661.8066	140.6633	165.0089	5496.7977	5802.4699
logg	3.9739	0.8323	0.4589	3.5149	4.8062
[Fe/H]	-0.8736	0.7105	0.1432	-1.0168	-0.1631
dist	234.3420	18.1330	14.2866	220.0554	252.4749
rad	1.2371	0.1121	0.0946	1.1425	1.3492
Av	0.0422	0.0649	0.0788	-0.0366	0.1071
grav_mass	0.4284	1.2253	0.3268	0.1017	1.6538
lum	1.3988	0.2968	0.2694	1.1295	1.6957
AD	0.0488	0.0055	0.0055	0.0433	0.0543
age	12.0624	1.4270	4.2809	7.7815	13.4894
iso_mass	0.9121	0.1315	0.0526	0.8595	1.0435
eep	431.0081	14.5467	24.9371	406.0710	445.5548
H_noise	0.0598	0.2250	0.0622	-0.0024	0.2848
J_noise	0.0485	0.2256	0.0586	-0.0101	0.2741
Ks_noise	0.0873	0.1696	0.0774	0.0099	0.2569
V_noise	0.0560	0.1522	0.0619	-0.0059	0.2082
B_noise	0.1463	0.3635	0.1550	-0.0086	0.5098
G_noise	0.0031	0.0065	0.0031	-0.0000	0.0096
RP_noise	0.0086	0.0126	0.0073	0.0013	0.0211
BP_noise	0.0088	0.0163	0.0087	0.0001	0.0251
SDSS_g_noise	0.0819	0.3043	0.0913	-0.0094	0.3862
SDSS_i_noise	0.0249	0.1276	0.0350	-0.0101	0.1525
SDSS_r_noise	0.0381	0.1273	0.0418	-0.0037	0.1654
W1_noise	0.1204	0.1834	0.1007	0.0197	0.3038
W2_noise	0.1050	0.1443	0.0871	0.0179	0.2492
