#Parameter	median	upper	lower	3sig_low	3sig_up
teff	6038.1314	160.5387	177.4375	5860.6938	6198.6701
logg	4.3081	0.4352	0.3297	3.9784	4.7433
[Fe/H]	-0.1253	0.2859	0.2753	-0.4006	0.1606
dist	5.8421	0.1351	0.1512	5.6909	5.9772
rad	1.0037	0.0726	0.0764	0.9272	1.0763
Av	0.0000	(FIXED)
grav_mass	0.6179	0.9559	0.3784	0.2396	1.5739
lum	1.1784	0.2437	0.2021	0.9763	1.4222
AD	1.5914	0.1284	0.1221	1.4693	1.7197
age	3.1755	1.2317	2.9006	0.2749	4.4072
iso_mass	1.0257	0.0685	0.0378	0.9879	1.0942
eep	349.1034	11.2838	35.4634	313.6399	360.3872
H_noise	0.6608	3.3939	0.9459	-0.2850	4.0548
J_noise	0.7698	3.9816	1.1198	-0.3500	4.7514
U_noise	0.0520	0.1415	0.0562	-0.0043	0.1934
V_noise	0.0191	0.0658	0.0214	-0.0023	0.0849
B_noise	0.0232	0.0893	0.0255	-0.0023	0.1125
b_noise	0.8148	4.9741	1.2435	-0.4287	5.7889
u_noise	2.9124	5.4487	2.1795	0.7329	8.3612
v_noise	0.8951	4.9199	1.3023	-0.4072	5.8149
y_noise	0.7737	4.5665	1.1416	-0.3679	5.3401
G_noise	0.0675	0.0557	0.0294	0.0381	0.1232
RP_noise	0.0186	0.0557	0.0197	-0.0012	0.0742
BP_noise	0.1699	0.2107	0.0944	0.0755	0.3806
