# Filter Magnitude Uncertainty
2MASS_H 2.0860 0.5040
2MASS_J 2.1090 0.5700
GROUND_JOHNSON_U 4.0220 0.0159
GROUND_JOHNSON_V 3.4430 0.0070
GROUND_JOHNSON_B 4.0150 0.0092
STROMGREN_b 3.7720 0.0000
STROMGREN_u 5.1610 0.0000
STROMGREN_v 4.3290 0.0000
STROMGREN_y 3.4000 0.0000
GaiaDR2v2_G 3.3008 0.0300
GaiaDR2v2_RP 2.7904 0.0300
GaiaDR2v2_BP 3.7646 0.0300
