#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5314.1158	46.0891	44.5268	5269.5890	5360.2049
logg	4.2850	0.3530	0.3481	3.9369	4.6380
[Fe/H]	0.0291	0.2569	0.2732	-0.2441	0.2859
dist	108.2845	0.8369	0.8369	107.4476	109.1214
rad	0.8640	0.0160	0.0172	0.8468	0.8800
Av	0.0232	0.0266	0.0290	-0.0057	0.0498
grav_mass	0.4129	0.5415	0.2280	0.1849	0.9544
lum	0.5362	0.0270	0.0280	0.5082	0.5632
AD	0.0741	0.0016	0.0015	0.0726	0.0757
age	0.9883	10.7879	0.9439	0.0443	13.439361234516339
iso_mas	0.9439	0.0338	0.1255	0.7774	1.0170736078942615
eep	372.0493	13.3147	90.6667	198.3243	387.26604616721426
H_noise	0.1183	0.0858	0.0633	0.0549	0.2041
J_noise	0.0916	0.0905	0.0612	0.0304	0.1821
Ks_noise	0.1165	0.0919	0.0621	0.0544	0.2084
V_noise	0.0681	0.0514	0.0337	0.0345	0.1195
B_noise	0.1011	0.0839	0.0514	0.0497	0.1850
BT_noise	0.5010	0.3986	0.2553	0.2457	0.8996
VT_noise	0.1897	0.2114	0.1217	0.0680	0.4011
G_noise	0.0036	0.0014	0.0014	0.0022	0.0050
RP_noise	0.0052	0.0037	0.0025	0.0027	0.0089
BP_noise	0.0120	0.0037	0.0035	0.0085	0.0157
SDSS_g_noise	0.4851	0.4845	0.3279	0.1571	0.9695
SDSS_i_noise	0.1180	0.1202	0.0773	0.0407	0.2382
SDSS_r_noise	0.0927	0.0911	0.0527	0.0400	0.1838
W1_noise	0.1043	0.0885	0.0624	0.0419	0.1928
W2_noise	0.0938	0.0760	0.0553	0.0385	0.1697
