#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5402.3590	128.8959	77.3376	5325.0214	5531.2549
logg	4.3398	0.6706	0.6706	3.6691	5.0104
[Fe/H]	-0.0268	0.4688	0.3994	-0.4261	0.4420
dist	171.8614	8.9279	6.3276	165.5338	180.7893
rad	0.9789	0.0568	0.0514	0.9275	1.0357
Av	0.0205	0.0953	0.0509	-0.0304	0.1158
grav_mass	0.3913	1.6644	0.3221	0.0691	2.0557
lum	0.7408	0.1104	0.0886	0.6522	0.8511
AD	0.0526	0.0039	0.0034	0.0492	0.0565
age	6.7371	5.3070	4.0927	2.6444	12.0440
iso_mass	0.9919	0.0441	0.1116	0.8803	1.0360
eep	374.5542	27.5393	39.1348	335.4194	402.0936
H_noise	0.0387	0.1305	0.0455	-0.0068	0.1692
J_noise	0.0304	0.1508	0.0377	-0.0073	0.1812
Ks_noise	0.0319	0.1715	0.0403	-0.0084	0.2034
V_noise	0.0320	0.1457	0.0426	-0.0106	0.1777
B_noise	0.0655	0.0787	0.0638	0.0018	0.1442
BT_noise	0.1589	0.6638	0.2134	-0.0545	0.8227
VT_noise	0.0945	0.3949	0.1152	-0.0207	0.4893
G_noise	0.0022	0.0053	0.0021	0.0000	0.0075
RP_noise	0.0041	0.0049	0.0039	0.0002	0.0090
BP_noise	0.0130	0.0103	0.0081	0.0049	0.0233
SDSS_g_noise	0.0729	0.2243	0.0810	-0.0081	0.2972
SDSS_i_noise	0.0565	0.1281	0.0490	0.0075	0.1847
SDSS_r_noise	0.0557	0.1884	0.0665	-0.0108	0.2441
W1_noise	0.0428	0.1833	0.0539	-0.0111	0.2261
W2_noise	0.0322	0.1404	0.0361	-0.0039	0.1725
