#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5555.6804	75.8600	71.1187	5484.5617	5631.5403
logg	4.1658	0.5667	0.3582	3.8076	4.7326
[Fe/H]	-0.3668	0.3500	0.3544	-0.7212	-0.0168
dist	250.9535	3.8363	3.7764	247.1771	254.7898
rad	1.0333	0.0282	0.0287	1.0046	1.0615
Av	0.0171	0.0387	0.0405	-0.0234	0.0558
grav_mass	0.4078	0.9857	0.2151	0.1928	1.3935
lum	0.9154	0.0723	0.0659	0.8495	0.9877
AD	0.0384	0.0011	0.0013	0.0371	0.0395
age	10.7452	2.7425	5.7946	0.3061	13.487667126855596
iso_mas	0.9164	0.0950	0.0717	0.8109	1.1252807944318612
eep	405.4737	10.1382	39.5389	267.0876	418.65333101021764
H_noise	0.1189	0.0955	0.0767	0.0422	0.2144
J_noise	0.0802	0.1101	0.0477	0.0326	0.1904
Ks_noise	0.1075	0.1072	0.0639	0.0435	0.2147
V_noise	0.1302	0.1404	0.0817	0.0485	0.2707
B_noise	0.1478	0.1245	0.0732	0.0746	0.2722
BT_noise	0.8649	1.0092	0.6392	0.2258	1.8741
VT_noise	0.4701	0.6234	0.2886	0.1815	1.0935
G_noise	0.0020	0.0013	0.0009	0.0011	0.0033
RP_noise	0.0072	0.0063	0.0036	0.0035	0.0135
BP_noise	0.0127	0.0063	0.0076	0.0050	0.0190
SDSS_g_noise	0.1511	0.1471	0.0698	0.0813	0.2982
SDSS_i_noise	0.1596	0.3008	0.1098	0.0498	0.4604
SDSS_r_noise	0.2197	0.2481	0.1418	0.0779	0.4678
