#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4878.4949	43.3642	42.5898	4835.9051	4921.8591
logg	4.5162	0.4412	0.4798	4.0363	4.9574
[Fe/H]	-0.3232	0.2989	0.2426	-0.5657	-0.0242
dist	152.3220	2.5060	2.4669	149.8551	154.8280
rad	0.9201	0.0215	0.0223	0.8978	0.9417
Av	0.0206	0.0315	0.0327	-0.0120	0.0521
grav_mass	0.6518	1.3503	0.4437	0.2081	2.0022
lum	0.4311	0.0268	0.0245	0.4066	0.4579
AD	0.0562	0.0016	0.0017	0.0546	0.0578
age	6.7848	4.6028	2.9940	0.0370	13.398484272644131
iso_mas	0.8886	0.0276	0.0441	0.7988	0.9571434669001685
eep	349.4643	21.5629	16.3355	190.0297	385.40243357173006
H_noise	0.1275	0.1077	0.0702	0.0573	0.2353
J_noise	0.0680	0.0873	0.0443	0.0237	0.1553
Ks_noise	0.0817	0.0917	0.0491	0.0326	0.1734
V_noise	0.0695	0.0568	0.0379	0.0317	0.1264
B_noise	0.0780	0.0729	0.0462	0.0318	0.1508
BT_noise	0.8415	1.1144	0.5572	0.2843	1.9558
VT_noise	0.4846	0.6782	0.3145	0.1701	1.1628
G_noise	0.0122	0.0079	0.0060	0.0062	0.0200
RP_noise	0.0156	0.0139	0.0084	0.0072	0.0296
BP_noise	0.0206	0.0165	0.0115	0.0091	0.0371
SDSS_g_noise	0.0667	0.0867	0.0419	0.0248	0.1534
SDSS_i_noise	0.0578	0.0537	0.0358	0.0220	0.1115
SDSS_r_noise	0.0956	0.0996	0.0559	0.0397	0.1952
W1_noise	0.0848	0.0953	0.0531	0.0317	0.1800
W2_noise	0.0780	0.0906	0.0481	0.0299	0.1686
