#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4604.1869	67.3759	79.9110	4524.2759	4671.5629
logg	4.9140	0.5564	1.0147	3.8994	5.4705
[Fe/H]	0.3616	0.2212	0.9101	-0.5486	0.5828
dist	92.1440	1.9599	1.9039	90.2401	94.1040
rad	0.7356	0.0286	0.0275	0.7081	0.7642
Av	0.0298	0.0480	0.0725	-0.0427	0.0778
grav_mass	0.3078	2.8274	0.2675	0.0403	3.1351
lum	0.2182	0.0224	0.0224	0.1958	0.2406
AD	0.0740	0.0035	0.0030	0.0710	0.0775
age	1.4013	6.6757	1.2545	0.1468	8.0770
iso_mass	0.7980	0.0256	0.0437	0.7543	0.8236
eep	329.4010	17.9339	54.3451	275.0559	347.3349
H_noise	0.0664	0.1891	0.0712	-0.0048	0.2555
J_noise	0.0342	0.1783	0.0475	-0.0134	0.2125
Ks_noise	0.0308	0.1493	0.0405	-0.0097	0.1801
V_noise	0.0405	0.2398	0.0573	-0.0167	0.2803
B_noise	0.0683	0.3272	0.0809	-0.0126	0.3955
BT_noise	0.8025	3.2195	0.9262	-0.1237	4.0220
VT_noise	0.3720	1.4434	0.3997	-0.0277	1.8154
G_noise	0.0045	0.0092	0.0042	0.0003	0.0136
RP_noise	0.0037	0.0075	0.0036	0.0000	0.0112
BP_noise	0.0158	0.0117	0.0151	0.0008	0.0275
SDSS_g_noise	0.0701	0.1949	0.0716	-0.0016	0.2650
SDSS_i_noise	0.0710	0.2752	0.0821	-0.0110	0.3463
SDSS_r_noise	0.0222	0.1173	0.0326	-0.0104	0.1396
W1_noise	0.0356	0.1920	0.0480	-0.0124	0.2275
W2_noise	0.0426	0.1728	0.0497	-0.0071	0.2154
