#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4310.5975	65.5089	80.5437	4230.0538	4376.1065
logg	5.1157	0.2586	0.3017	4.8140	5.3743
[Fe/H]	-0.1927	0.5442	0.4992	-0.6920	0.3515
dist	105.8137	1.1440	1.1246	104.6892	106.9577
rad	0.7151	0.0284	0.0231	0.6920	0.7434
Av	0.0101	0.0472	0.0501	-0.0400	0.0573
grav_mass	2.1167	1.8357	1.2104	0.9063	3.9524
lum	0.1582	0.0166	0.0145	0.1437	0.1748
AD	0.0631	0.0024	0.0023	0.0607	0.0654
age	1.8899	8.0047	1.6546	0.1011	13.427413666698275
iso_mas	0.7465	0.0262	0.0345	0.6563	0.7939042702531603
eep	328.6842	18.1489	48.7154	205.9405	348.74352440963315
H_noise	0.1494	0.1514	0.1191	0.0302	0.3008
J_noise	0.0574	0.1227	0.0433	0.0141	0.1801
Ks_noise	0.0529	0.1184	0.0400	0.0128	0.1713
V_noise	0.1095	0.2175	0.0870	0.0225	0.3270
B_noise	0.1358	0.2339	0.1086	0.0272	0.3697
G_noise	0.0024	0.0029	0.0016	0.0008	0.0054
RP_noise	0.0060	0.0074	0.0044	0.0016	0.0134
BP_noise	0.0138	0.0124	0.0101	0.0036	0.0261
SDSS_g_noise	0.1574	0.3529	0.1140	0.0433	0.5103
SDSS_i_noise	0.1160	0.2368	0.0905	0.0254	0.3527
SDSS_r_noise	0.0976	0.1710	0.0699	0.0277	0.2686
W1_noise	0.0643	0.1170	0.0504	0.0139	0.1813
W2_noise	0.1084	0.0995	0.0669	0.0414	0.2079
