TIC Number,TOI_Number,ARIADNE_Radius,ARIADNE_rad_upper,ARIADNE_rad_lower,ARIADNE_Teff,ARIADNE_teff_upper,ARIADNE_teff_lower,ARIADNE_[Fe/H],ARIADNE_feh_upper,ARIADNE_feh_lower,ARIADNE_Logg,ARIADNE_logg_upper,ARIADNE_logg_lower,TICv8_Radius,TICv8_Radius_err,TICv8_Teff,TICv8_Teff_err,TICv8_Logg,TICv8_Logg_err,TICv8_[M/H],TICv8_[M/H]_err,Notes
320004517,1055.01,,,,,,,,,,,,,0.975,0.055,5783.5,146.2,4.4774,0.0844,-0.0526,0.007,No known stellar companions; still unsuccessful after removing sdss
323295479,1861.01,1.053,0.017,0.01,5567.09,42.48,35.55,0.07,0.1,0.18,4.1,0.34,0.15,1.061,0.055,5684,135.4,4.3909,0.0785,99.9999,99.9999,
327301957,1074.01,0.752,0.013,0.014,4997.1,38.62,36.64,-0.43,0.24,0.19,4.57,0.19,0.37,0.742,0.048,5065,134.7,4.6271,0.0923,99.9999,99.9999,No known stellar companions; skipped WISE due to contamination; successful after removing sdss
339961200,724.01,0.857,0.013,0.013,5396.98,35.96,38.14,0.05,0.14,0.22,4.37,0.19,0.24,0.883,0.049,5330,125,4.5101,0.0812,99.9999,99.9999,
348770361,161.01,,,,,,,,,,,,,0.985,99.999,5388,99999.9,99.9999,99.9999,99.9999,99.9999,Listed in Ziegler et al (2020) as a binary star
354519019,2507.01,0.926,0.011,0.01,5775.16,39.36,35.45,-0.27,0.18,0.2,4.29,0.25,0.21,0.923,0.043,5824,129.1,4.5286,0.0762,99.9999,99.9999,
364393429,1207.01,1.128,0.022,0.019,5848.75,47.04,50.98,-0.1,0.14,0.22,4.23,0.24,0.2,1.107,0.05,5992,127.2,4.3908,0.0771,99.9999,99.9999,No known stellar companions; no WISE due to contamination; successful after removing sdss
372172128,2196.01,1.003,0.023,0.023,5764.38,31.12,44.87,0.06,0.18,0.2,4.43,0.25,0.25,1.029,0.05,5728,129.2,4.4217,0.077,99.9999,99.9999,
377064495,561.01-03,0.852,0.016,0.012,5430.4,32.16,31.34,-0.44,0.17,0.14,4.25,0.24,0.2,0.841,0.045,5440,123.5,4.5666,0.077,99.9999,99.9999,
382068562,924.01,1.033,0.017,0.017,5555.68,46.78,42.53,-0.37,0.21,0.22,4.17,0.38,0.19,0.994,0.048,5682,128.9,4.4478,0.0758,99.9999,99.9999,
