TIC,TOI,SG1Disposition,Rplanet,Period,CK2016_Mass,PredictedK,Mstar_TIC8,Rstar_TIC8,Teff_TIC8
422914082,4317.01,PC,3.778,238.854207,13.756,1.83,0.68,0.87,4354
233721037,2090.01,PC,3.679,230.92212,13.147,1.16,1.28,2.12,6351
264171144,2281.01,PC,3.474,210.962027,11.926,1.02,1.41,1.53,6560
372068780,4305.01,PC,5.593,183.001911,26.802,2.69,1.19,2.75,6200
237201858,2286.01,PC,4.098,179.40749,15.797,1.37,1.49,1.46,6414
158075010,2074.01,PC,3.595,177.583051,12.645,1.16,1.38,1.6,6501
219778329,2091.01,PC,2.044,177.219004,4.842,0.54,1.04,1.15,5809
198485881,2257.01,VPC,2.356,175.94459,6.162,1.54,0.31,0.33,3539
141488193,4127.01,PC,12.531,169.213125,105.615,10.25,1.3,1.25,6433
362220495,2299.01,PC,3.915,165.001773,14.615,2.12,0.72,0.73,2817
198456933,2276.01,PPC,1.776,153.717211,3.814,0.47,0.96,0.88,5503
306472057,791.01,VPC,10.255,139.303603,75.122,7.3,1.43,1.43,6378
165554103,2296.01,PC,1.988,139.247566,4.618,0.6,0.93,0.91,5395
441765914,2088.01,PC,3.583,124.725199,12.57,1.86,0.8,0.83,4852
235943205,2264.01,PC,4.232,121.337716,16.684,1.95,1.16,0.96,6001
389924075,1212.01,PC,2.628,105.585089,7.422,0.96,1.07,1.17,6072
309792357,199.01,VPC,10.111,104.87075,73.329,10.82,0.88,0.88,5147
288516853,2277.01,PC,3.379,101.950974,11.378,1.33,1.26,2.44,6258
48018596,2295.01,PC,5.18,100.114794,23.525,3.23,1.01,1.47,5631
308994098,790.01,PC,5.239,99.78396,23.98,2.5,1.52,1.46,6718
260640693,798.01,VPC,5.696,95.239607,27.648,5.07,0.67,0.7,4096
388130235,2239.01,PC,20.526,92.195105,317,21.55,NaN,3,4963
349095149,1221.01,PC,3.207,91.683052,10.413,1.47,1.01,1.02,5535
388106759,810.02,PC,2.587,90.84028,7.226,1.01,1.02,1.4,5628
260130483,933.01,VPC,13.102,88.932484,113.925,16.53,0.98,1.79,5601
56662591,4309.01,PC,2.132,87.22287,5.2,0.81,0.89,0.83,5220
367855829,2253.01,PC,4.421,85.42448,17.968,2.59,1.01,1.3,5621
29781292,282.03,PC,3.261,84.216358,10.71,1.35,1.24,1.41,6224
55525572,813.01,VP,4.39,83.897864,17.753,2.51,1.05,2.04,6047
177308364,2327.01,CPC,3.166,82.789149,10.187,1.46,1.04,0.96,5653
251086776,4312.01,PC,2.439,80.679725,6.535,1.45,0.55,0.55,3808
441642457,2073.01,PC,3.082,79.828946,9.733,1.42,1.02,1.16,5682
142087638,2404.02,PC,9.232,74.605824,62.824,8.64,1.16,1.18,5864
176797879,4353.01,PC,1.365,71.818093,2.438,0.67,0.42,0.43,3614
260128333,1338.01,P,8.838,71.416874,58.338,8.87,1.02,1.52,6048
319259194,1220.01,PC,7.364,70.364596,42.784,5.48,1.33,2.1,6217
367739494,2080.01,CPC,3.037,63.586253,9.492,1.77,0.79,0.72,4828
229742722,1859.01,VPC,10.611,63.483408,79.603,10.76,1.29,1.4,6311
82452140,2289.01,PC,2.798,63.37514,8.258,1.31,1.02,1.01,5673
179580045,2248.01,PC,11.513,62.16408,91.451,10.16,1.75,1.66,6744
29781292,282.01,VPC,1.757,56.00807,3.743,0.54,1.24,1.41,6224
402898317,2093.01,PPC,2.155,53.820626,5.296,1.14,0.7,0.73,4455
150151262,712.03,STPC,2.79,53.746482,8.216,1.75,0.71,0.72,4543
350618622,201.01,P,10.992,52.978213,84.522,12.02,1.31,1.33,6240
167342439,707.01,PC,2.407,52.799189,6.394,1.14,0.94,1.02,5372
299945285,794.01,PC,3.472,52.395786,11.913,1.78,1.22,1.59,6385
150151262,712.02,VPC,3.14,51.699663,10.045,2.17,0.71,0.72,4543
323132914,1057.01,PC,2.951,51.164822,9.039,1.55,1.01,0.94,5667
248387177,2425.01,PC,5.635,50.693085,27.142,5.07,0.89,0.78,5175
341815197,2089.01,PC,3.349,49.994324,11.207,2.08,0.9,0.78,5205
149601126,2525.02,VPC,10.396,49.24238,76.884,15.43,0.81,0.82,4944
233684293,1791.01,PC,4.426,48.47912,18.004,2.84,1.17,2.47,6073
207425167,1812.03,VPC,5.123,48.3289,23.09,4.55,0.84,0.74,5017
1551345500,1764.01,VPC-,13.323,47.385707,117.219,26.51,0.69,0.62,4415
391904697,705.01,PC,3.137,47.019433,10.03,1.91,0.9,0.88,5092
7422496,4189.01,PC,2.468,46.962105,6.671,1.16,1.03,0.88,5744
142117976,2273.01,PC,2.256,46.549173,5.725,0.84,1.33,1.15,6439
404518509,4320.02,PC,2.186,46.409373,5.428,0.93,1.06,1.04,5871
260367888,3354.01,PC,4.816,46.381009,20.785,3.2,1.24,1.7,6308
281781375,204.01,PC,2.511,43.82796,6.867,1.26,0.98,1.04,5553
175456679,2326.01,PC,1.974,42.91305,4.564,0.72,1.24,0.32,6227
91555165,2345.02,PC,2.34,42.128989,6.095,1.38,0.73,0.76,4621
230387153,2086.01,VPC,2.796,41.751908,8.245,1.61,0.92,0.91,5286
248092710,1217.01,VPC,10.782,41.464934,81.798,13.09,1.24,3.49,6073
441739020,1670.01,VPC?,11.053,40.749442,85.329,13.6,1.26,1.31,6289
30037565,1209.01,PC,3.025,40.71929,9.427,1.66,1.08,1.56,6106
130415266,588.01,VPC+,16.578,39.4714,317,30.77,2.69,1.82,10010
150030205,286.02,PC,1.999,39.362047,4.661,0.97,0.86,0.79,5116
142381532,1823.01,VPC,8.167,38.81206,51.006,11.46,0.77,0.82,4760
182078202,4302.01,PC,2.728,38.761706,7.907,1.49,1,0.88,5653
375059587,786.02,PC,2.832,38.554029,8.427,1.53,1.06,1.31,5979
269701147,1339.03,P,3.021,38.351829,9.406,1.85,0.95,0.92,5461
230127302,1246.04,PC,3.321,37.917995,11.05,2.31,0.87,0.88,5098
287080092,1751.01,PC,2.735,37.468261,7.941,1.38,1.15,1.27,6082
150428135,700.02,VP,1.126,37.424812,1.488,0.51,0.41,0.42,3594
428988981,2144.01,PC,2.307,37.341212,5.948,1.18,0.95,0.88,5413
153949511,1277.02,CPC,3.549,37.074384,12.37,2.41,0.98,0.86,5523
167661160,2479.01,VPC,3.786,36.838243,13.805,2.78,0.93,1.21,5363
74534430,687.01,VPC,2.212,36.299513,5.535,1.41,0.66,0.62,4243
167600516,713.01,VPC,2.231,35.999397,5.617,1.42,0.67,0.65,4289
