NEW Set of TICs to analyze,,TIC_Number,TOI_Number,SG2/4 Status,"ID (HD, HIP, TYC, etc)",GAIA,Distance,Parallax,Gaia_Source,RA,pm_RA,Dec,pm_Dec,Reddening_mag,Reddening_uncertainty_min,Reddening_uncertainty_max,av,e_av,Teff,e_Teff,logg,e_logg,metallicity,e_metallicity,author,bibcode,SpType,Mult?,Gal_Lon,Gal_Lat
77253676,,77253676,697.01,CPC,,4866555051425383424,93.07312,10.76124,DR3,69.70423,28.28375,-36.6813,24.96419,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,239.2198249,-41.50944008
80682484,,80682484,2810.01,,,5361549791779367424,99.06054838,10.1118361,DR3,165.9551019,-68.32932701,-50.88715068,9.678806927,0.006,0.016,0.016,0.01986,0.05296,,,,,,,,,,N,286.1585874,8.446197682
89020549,,89020549,132.01,P,,6520880040423258240,164.9068,6.081032,DR3,338.3997,35.50944,-43.4369,-53.0827,0.005,0.016,0.016,0.01655,0.05296,,,,,,,,,,Y,353.4141297,-57.8180177
91555165,,91555165,2345.01,CPC?,,5049575943053753088,81.43496,12.29674,DR3,43.88483,202.4811,-34.978,-104.354,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,237.1569777,-62.41353752
117799904,,117799904,2457.01,PC,,3174921811836948864,61.45229,16.28979,DR3,70.16732,15.26819,-12.8907,19.51116,0.001,0.014,0.014,0.00331,0.04634,4250,250,4,0.5,0,0.5,TRES,,,N,210.0338469,-34.77238287
118327550,,118327550,244.01,VPC+,,5001098681543159040,22.08344,45.29981,DR3,10.56973,-154.88,-36.718,45.63249,0,0.014,0.014,0,0.04634,4250,250,5,0.5,0,0.5,TRES,,,N,313.7910173,-80.21626788
119292328,,119292328,512.01,CPC,,5574111674620962688,67.27284,14.88184,DR3,96.6467,3.10463,-38.6072,-108.873,0,0.014,0.014,0,0.04634,,,,,,,,,,N,246.5637458,-21.08708615
120896927,,120896927,402.01-02,P,HD 15337,5068777809824976256,44.89304,22.29217,DR3,36.86787,-73.5805,-27.6361,-211.935,0,0.014,0.014,0,0.04634,5168,33,4.5,0.03,0.13,0.08,Soto**,2018A&A...615A..76S,,N,219.8596874,-68.7086559
122613513,,122613513,279.01,PC,,5063070558501465856,74.06158,13.51928,DR3,41.18845,-8.75092,-32.211,-31.4604,0.001,0.014,0.014,0.00331,0.04634,4500,250,4,0.5,0,0.5,TRES,,,N,231.4906793,-64.94275802
123664207,,123664207,2493.01,STPC,,2917842382508546560,92.96094,10.77421,DR3,89.74625,33.25865,-21.5751,113.1468,0.001,0.014,0.014,0.00331,0.04634,4500,250,4,0.5,0,0.5,TRES,,,N,227.2446079,-20.82101023
124573851,,124573851,669.01,VPC?,,3777506754255516800,142.837,7.017989,DR3,158.9007,9.723302,-5.18136,72.18914,0.009,0.016,0.016,0.02979,0.05296,5750,250,4.5,0.5,0,0.5,TRES,,,N,252.3369853,43.94698573
130924120,,130924120,757.01,CPC,,6157753406084087168,60.36953,16.58165,DR3,187.9949,47.92888,-35.5544,107.2871,0.003,0.016,0.016,0.00993,0.05296,5750,250,5,0.5,0,0.5,TRES,,,N,298.4848818,27.14874911
139198430,,139198430,1891.01,PC,,6539676638373111552,113.2225,8.831362906,DR2,345.631,-30.81644078,-46.0852,-2.599742307,0.003,0.015,0.015,0.00993,0.04965,,,,,,,,,,N,344.3360414,-61.32573294
142868621,,142868621,2446.01,PC,,5054967123443063936,159.153,6.300261,DR3,50.94274,-8.61048,-31.2652,-66.7859,0.002,0.015,0.015,0.00662,0.04965,,,,,,,,,,N,229.3256935,-56.66212251
142937186,,142937186,2427.01,VPC?,,5055663973297050624,28.55305,35.03953,DR3,52.29176,150.4661,-31.3629,41.41908,0,0.014,0.014,0,0.04634,4250,250,3.5,0.5,0,0.5,TRES,,,N,229.6081616,-55.51694851
146520535,,146520535,942.01,VP,,2974906868489280768,151.8405,6.602859,DR3,76.64962,15.43535,-20.2456,-3.95634,0.003,0.014,0.014,0.00993,0.04634,5250,250,4.5,0.5,0,0.5,TRES,,,N,220.9804593,-31.77462582
147203645,,147203645,166.01,VPC+,,6577791758704836480,172.6275,5.80982,DR3,323.1961,29.93445,-44.018,-58.6197,0.007,0.016,0.016,0.02317,0.05296,,,,,,,,,,N,356.393169,-46.98021867
149845414,,149845414,2545.01,PC,,5762607889340459008,105.5354,9.492498,DR3,135.5458,-14.7413,-3.42082,-11.3191,0.003,0.015,0.015,0.00993,0.04965,6000,250,4.5,0.5,0,0.5,TRES,,,N,232.5170778,26.90839684
150030205,,150030205,286.01-02,CPC/PC,,5482316880495405056,59.33354,16.87087,DR3,90.9843,76.32995,-60.6663,-3.39889,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,269.6345802,-29.15957954
153065527,,153065527,406.01,VPC?,,4851053999056603904,30.92385,32.3545,DR3,49.26265,41.64908,-42.2442,-412.87,0,0.014,0.014,0,0.05166,,,,,,,,,,N,249.5596069,-56.80790175
161477033,,161477033,553.01-03,FA/PC/PC,,4811260680384564864,107.995,9.276692,DR3,73.2613,50.83262,-45.5404,67.48898,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,251.02971,-39.29712295
164767175,,164767175,266.01-02,PC/STPC,BD-19 302,5140454049422547200,101.8654,9.833871,DR3,26.20924,-87.1847,-18.4014,-110.783,0.001,0.014,0.014,0.00331,0.04634,5784,55,,,,,Masana,2006A&A...450..735M,,N,180.3462557,-74.92829178
167303382,,167303382,802.01,PC,HD 47252,5279965341799657728,28.07453,35.63648,DR3,97.98569,-56.8812,-68.7119,-449.7,0.001,0.014,0.014,0.00331,0.04634,5228,33,,,,,Masana,2006A&A...450..735M,,N,279.0003272,-26.89234543
167342439,,167342439,707.01,PC,,5280307324270051200,130.5593,7.676357,DR3,98.72958,-14.7496,-67.5373,-11.0734,0.003,0.016,0.016,0.00993,0.05296,,,,,,,,,,N,277.7334647,-26.47939816
167415965,,167415965,214.01-02,CPC/PC,HD 48611,5266722205277801984,38.96972,25.67795,DR3,99.45868,-149.725,-70.9313,298.697,0.001,0.015,0.015,0.00331,0.04965,5330,17,4.48,0.06,-0.36,0.01,Tsantaki,2013A&A...555A.150T,,N,281.5367178,-26.62843614
167905035,,167905035,4191.01,,,5463620720353380352,83.84524625,11.94373461,DR3,151.7079444,-73.04261783,-29.96675803,-111.7833164,0.002,0.014,0.014,0.00662,0.04634,,,,,,,,,,N,265.3962938,20.65842313
170889511,,170889511,2666.01,STPC,HD 80133,3837451574150437120,32.29713,30.9795,DR3,139.4809,23.26651,-3.38753,-63.8972,0,0.014,0.014,0,0.04634,5212,44,4.59,0.06,0.08,0.03,Valenti,2005ApJS..159..141V,,Y,234.9571671,30.20063268
179034327,,179034327,444.01,VPC,,4895489043507741440,57.5111,17.40495,DR3,64.18399,-25.7659,-26.7664,-116.434,0.001,0.014,0.014,0.00331,0.04634,5000,250,4,0.5,0,0.5,TRES,,,Y,224.7921623,-44.58125087
188570092,,188570092,294.01,P,,2594869603582993792,127.048,7.888039,DR3,339.0258,-108.585,-17.0003,-84.4373,0.01,0.014,0.014,0.0331,0.04634,4750,250,4.5,0.5,0,0.5,TRES,,,N,43.77781437,-57.171097
201793781,,201793781,248.01,PC,,4743138925656526976,76.18808,13.14241,DR3,34.68431,93.6695,-54.8597,12.90275,0.001,0.015,0.015,0.00331,0.04965,,,,,,,,,,Y,279.0877973,-58.04065117
203377303,,203377303,3493.01,,,6192360843805622528,97.29966339,10.29452785,DR3,205.7990396,43.32476043,-22.58545416,-72.24315601,0.007,0.018,0.018,0.02317,0.05958,,,,,,,,,,N,318.3019239,38.73694737
207141131,,207141131,179.01,VPC,,4728513943538448512,38.65826,25.88469,DR3,44.26201,-36.6614,-56.1919,50.55833,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,273.9281903,-53.27788229
209459275,,209459275,559.01,P,,5057924844082070016,233.8143,4.293899,DR3,46.81861,-22.9828,-31.163,-69.795,0.006,0.015,0.015,0.01986,0.04965,6500,0.5,5,0.5,0,0.5,TRES,,,N,228.9147127,-60.18390284
219229644,,219229644,870.01,VPC+,,4782093729275660160,53.86343,18.58247,DR3,63.31931,105.1005,-50.9443,50.31201,0.001,0.014,0.014,0.00369,0.05166,,,,,,,,,,N,259.2174742,-45.32303993
219338557,,219338557,133.01,VPC,,6489346046933733632,48.5198,20.62714,DR3,354.3974,196.6552,-58.9551,-102.693,0.002,0.015,0.015,0.00662,0.04965,,,,,,,,,,N,319.7766504,-55.69239795
219344917,,219344917,871.01,PPC,,4783664690873269888,67.94806,14.73412,DR3,74.73761,-79.2141,-50.6274,-121.69,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,257.5279986,-38.21388416
224225541,,224225541,251.01,VP,,6539037542941988736,101.178,9.900576,DR3,353.0621,44.65965,-37.2559,1.741103,0.002,0.015,0.015,0.00662,0.04965,6000,250,4.5,0.5,0,0.5,TRES,,,N,356.7337553,-70.48424207
231728511,,231728511,864.01,VPC,,4772266186971169792,38.03862,26.30607,DR3,81.44337,-123.273,-51.357,5.047135,0,0.014,0.014,0,0.05166,,,,,,,,,,N,258.4112121,-33.99159185
231912935,,231912935,215.01,VPC,,4900600363827037184,167.5879,5.984017,DR3,7.318005,-12.4183,-63.7906,-6.00763,0.005,0.016,0.016,0.01655,0.05296,,,,,,,,,,N,307.010939,-53.16175476
234345288,,234345288,213.01,VPC?,,4644950166473815168,54.34059,18.41945,DR3,38.88731,50.98877,-71.6242,-19.9673,0.002,0.015,0.015,0.00662,0.04965,,,,,,,,,,N,291.9887823,-43.22358554
234994474,,234994474,134.01,P,,6491962296196145664,25.19254,39.71129,DR3,350.0285,-319.924,-60.0657,-127.782,0.001,0.015,0.015,0.00369,0.05535,,,,,,,,,,N,321.9545964,-53.56037354
237913194,,237913194,2179.01,P,,4715813347286590080,309.4534,3.248504,DR3,22.44582,18.1239,-60.7399,10.4455,0.011,0.014,0.014,0.03641,0.04634,,,,,,,,,,N,294.6131765,-55.76467977
237928815,,237928815,703.01-02,PC/CPC-,,4680955147898508032,120.7832,8.236830917,DR3,57.99983,28.94891,-59.8824,32.62255,0.002,0.014,0.014,0.00662,0.04634,,,,,,,,,,Y,272.6231077,-45.18831055
251094370,,251094370,2437.01,PC,,2488833531129286784,291.1026,3.452215,DR3,37.93858,7.057666,-5.51499,-18.9795,0.024,0.02,0,0.07944,0.0662,5750,250,4,0.5,0,0.5,TRES,,,N,175.2774179,-57.79797532
251848941,,251848941,178.01-03,P/P/P,,2318295979126499200,62.96028,15.90003,DR3,7.302036,150.0321,-30.4541,-87.1322,0.001,0.015,0.015,0.00331,0.04965,4500,250,4,0.5,0,0.5,TRES,,,N,357.2956323,-84.10341799
255685030,,255685030,799.01,VPC?,,5501542395359045504,158.2849,6.334724,DR3,98.46913,26.64474,-52.4603,33.62366,0.003,0.014,0.014,0.00993,0.04634,,,,,,,,,,N,261.3387386,-23.77075928
258804746,,258804746,2431.01,CPC,,22707874346819712,36.0301,27.77157,DR3,37.76535,374.862,8.381614,-85.6871,0.001,0.014,0.014,0.00331,0.04634,4250,250,3.5,0.5,0,0.5,TRES,,,N,160.6381802,-47.06597581
259592689,,259592689,429.01,STPC,,4777069717050967040,120.2666,8.331864,DR3,72.97732,50.00591,-53.8296,223.6324,0.001,0.013,0.013,0.00331,0.04303,,,,,,,,,,N,261.7254476,-39.03504995
260004324,,260004324,704.01,VP,,5500061456275483776,29.81243,33.56006,DR3,91.09015,681.7669,-55.3115,342.1657,0,0.014,0.014,0,0.05166,,,,,,,,,,N,263.5573236,-28.57431964
260417932,,260417932,932.01-02,VPC?/PC,,5499671713762981248,85.72744,11.68188,DR3,95.94093,-40.9038,-54.578,35.05536,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,263.2475745,-25.70371648
260708537,,260708537,486.01,CPC-,,5482827676662168832,15.21954,65.72201,DR3,98.45477,-404.05,-58.5249,795.9496,0,0.014,0.014,0,0.05166,,,,,,,,,,N,267.8375526,-25.12315632
261136679,,261136679,144.01,P,* pi. Men,4623036865373793408,18.29307,54.68251,DR3,84.29954,310.9088,-80.4645,1049.06,0.001,0.015,0.015,0.00331,0.04965,6003,17,4.42,0.03,0.09,0.01,Sousa,2008A&A...487..373S,,N,292.5134984,-29.77632079
261257684,,261257684,904.01,VPC,,4620844400530949376,46.09952,21.7092,DR3,89.37124,-28.7743,-83.1297,110.9276,0.002,0.015,0.015,0.00738,0.05535,,,,,,,,,,N,295.324498,-28.52474285
