TIC ID,TOI,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
160077104,2287.01,PC,PC,8.5709,0.006,51:00.2,53:43.4,11.811755,0.000345,3.47729,0.409319,0.202506,0.025889,186.497687,23.844408,1.949042,0.234968,154.325538,898.936882,7.844008,94.9685,0.1886,6037,121.613,4.32817,0.074638,1.20105,0.054879,,,"14,19,20,25,26",9/30/20,9/30/20,6/1/21 12:02,
462615350,2288.01,PC,PC,12.709,0.006,44:28.6,05:09.8,8.917669,0.000278,2.8889,0.392527,3.415576,0.470481,3140.91841,433.23517,4.079063,0.58723,17.106417,518.691958,8.185403,132.907,0.29,4066,130.915,4.67766,0.112229,0.605243,0.058194,,,"16,24,25",9/30/20,9/30/20,6/6/21 0:00,low SNR; slightly V-shaped
82452140,2289.01,PC,PC,10.0011,0.006,00:23.4,43:48.9,63.37514,0.007242,5.045088,0.849273,0.807793,0.101756,743.727695,93.71673,2.798379,1.661468,10.04334,454.034961,8.628267,139.616,0.6075,5717,124.297,4.43377,0.07526,1.01496,0.050714,,,"24,26",9/30/20,9/30/20,6/1/21 12:02,low SNR
321688498,2290.01,PC,PC,11.1079,0.007,26:23.9,38:25.9,0.38623,0.000008,0.909433,0.294926,0.652579,0.066068,600.866429,60.848583,1.485881,1.011113,873.59055,1386.585746,9.54661,58.0924,0.0729,3863,157,4.67991,0.01015,0.566304,0.016907,,,"17,18,24,25",9/30/20,9/30/20,7/21/21 0:00,low SNR; potential secondary near 0.5 phase
236934937,2291.01,PC,PC,11.9959,0.007,17:11.8,52:17.6,9.406193,0.000156,1.529839,0.591584,1.678266,0.191091,1544.546341,175.98589,1.924333,1.512822,9.822241,451.515226,8.246524,69.3787,0.10095,3869,157,4.75875,0.006998,0.475701,0.013958,,,"15,16,17,18,21,24,25",9/30/20,9/30/20,6/22/21 0:00,
236934268,2292.01,PC,PC,10.8746,0.006,17:04.0,09:13.8,7.077142,0.00015,2.59586,0.492005,0.753687,0.0778,693.930515,71.65432,2.796258,1.06062,186.211358,942.152688,8.502989,204.888,1.107,5781,137.012,4.45679,0.072053,0.996621,0.047518,,,"16,17,24,25",9/30/20,9/30/20,8/6/21 0:00,ramped transit shape; not a lot of transits; crowded field and small centroid offset
71347873,2293.01,PC,PC,11.814,0.007,42:22.4,24:14.7,6.068947,0.000147,2.03348,0.735999,1.825604,0.237368,1680.030728,218.60033,2.060412,1.792683,15.177358,503.406474,7.543161,62.7576,0.12815,3668,157,4.73795,0.008144,0.499376,0.014884,,,"20,26",9/30/20,9/30/20,6/1/21 12:02,low SNR
284361752,2294.01,PC,PC,9.78288,0.006,12:26.1,38:25.5,340.384651,0.007804,8.939437,0.663125,0.78384,0.083943,721.683186,77.31168,3.504342,0.797706,2.302143,314.161384,9.126562,191.396,0.7605,6424,132.667,4.33722,0.088365,1.27808,0.058078,,,"14,15,16,26",9/30/20,9/30/20,6/22/21 0:00,only two transits; period could be a few times shorter (at least ~70 days)
48018596,2295.01,PC,PC,9.00772,0.006,46:18.3,29:32.9,100.114794,0.00079,1.83142,0.411721,1.282485,0.098457,1180.514828,90.67846,5.18009,2.935489,11.129472,465.841728,13.995037,126.279,0.395,5660,124.128,4.10485,0.074224,1.47127,0.072427,,,"15,26",9/30/20,9/30/20,6/22/21 0:00,period could be aliased; bright star
165554103,2296.01,PC,PC,10.4431,0.006,47:43.6,52:22.1,139.247566,0.021371,15.325878,1.614281,0.518524,0.071244,477.463783,65.61598,1.988073,0.990065,2.328972,315.072725,7.299287,135.723,0.602,5373.01,107.376,4.49164,0.077948,0.90717,0.043937,-0.211,0.026,"14,15,16,17,18,19,20,21,22,23,24,25,26",9/30/20,9/30/20,6/1/21 12:02,potential single transit candidate at TBJD~1860
233500935,2297.01,PC,PC,11.6702,0.006,42:57.6,26:58.5,22.052935,0.000705,3.552584,0.750357,0.798837,0.093494,735.485878,86.107414,2.130861,2.356308,15.327108,504.643639,8.313396,168.911,0.7,4836,120.564,4.53282,0.088954,0.794435,0.052623,,,"14,15,16,17,18,19,20,21,22,23,24,25,26",9/30/20,9/30/20,6/1/21 12:02,V-shaped; possibly grazing incidence
229608594,2298.01,PC,PC,11.1919,0.006,18:02.9,27:59.5,0,0,7.093905,0.607601,2.21996,0.190932,2042.570265,175.83911,2.964681,0.754957,0.478068,212.076326,11.261794,84.1738,0.1599,4239,119.935,4.61861,0.104338,0.659937,0.05904,,,"14,15,16,17,18,19,20,21,22,23,24,25,26",9/30/20,12/10/20,6/1/21 12:02,Single transit candidate at TBJD~1960; likely matched to noise; planet candidate size not L1; period is 165.2d if first transit event is real
362220495,2299.01,PC,PC,9.863,0.043,04:54.7,45:21.4,165.001773,0.004604,3.63495,0.433997,3.102518,0.396316,2853.446019,364.95422,3.773171,0.875818,1.856118,297.694743,7.934284,,0.288849,5780,,4.56973,0.01762,0.699973,0.026556,,,"14,17,18,20,21,24,25,26",9/30/20,9/30/20,6/16/21 0:00,low SNR; lots of background noise in difference images; slightly asymmetric transit shape; signal at TJD ~ 1798 is a possible single transit
280031353,2300.01,PC,PC,11.8231,0.006,49:39.9,53:00.1,4.856174,0.000067,2.223531,0.736778,1.229521,0.163869,1131.789656,150.91751,2.708669,2.706562,179.303014,933.290074,7.425436,221.705,1.0125,5607,158.447,4.63178,0.076559,0.796892,0.041176,,,"15,16,24,25",9/30/20,9/30/20,7/21/21 0:00,possible multi
280031353,2300.02,PC,PC,11.8231,0.006,49:39.9,53:00.1,15.429723,0.001176,4.502147,0.322403,5.829467,0.470857,5354.749893,433.5815,6.836598,0.522792,38.385665,634.836687,13.302867,221.705,1.0125,5607,158.447,4.63178,0.076559,0.796892,0.041176,,,"15,16,24,25",9/30/20,9/30/20,7/21/21 0:00,no even transits so period could be twice; multi
