#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3212.8274	52.8092	74.7057	3138.1217	3265.6367
logg	5.0324	0.4753	0.3910	4.6414	5.5077
[Fe/H]	-0.2068	0.5470	0.4837	-0.6904	0.3403
dist	31.0612	0.2202	0.2569	30.8043	31.2813
rad	0.4312	0.0174	0.0142	0.4169	0.4486
Av	0.0000	(FIXED)
grav_mass	0.6124	0.9564	0.5832	0.0292	1.5688
lum	0.0177	0.0021	0.0020	0.0157	0.0198
AD	0.1292	0.0053	0.0045	0.1247	0.1346
age	0.1456	10.1854	0.1352	0.0104	10.3310
iso_mass	0.4068	0.0141	0.0141	0.3926	0.4209
eep	301.3056	15.0160	120.1278	181.1778	316.3216
H_noise	0.0422	0.1514	0.0483	-0.0060	0.1937
J_noise	0.0401	0.1752	0.0546	-0.0145	0.2152
Ks_noise	0.0438	0.2518	0.0498	-0.0060	0.2956
V_noise	0.0539	0.2320	0.0647	-0.0108	0.2859
B_noise	0.2459	0.6065	0.2426	0.0033	0.8525
G_noise	0.0023	0.0034	0.0018	0.0005	0.0057
RP_noise	0.0216	0.0079	0.0054	0.0162	0.0295
BP_noise	0.0122	0.0184	0.0117	0.0004	0.0306
SDSS_g_noise	0.1644	0.1201	0.0708	0.0937	0.2845
SDSS_i_noise	0.1277	0.3035	0.1214	0.0063	0.4311
SDSS_r_noise	0.0292	0.0451	0.0283	0.0009	0.0743
W1_noise	0.0920	0.1583	0.0911	0.0008	0.2503
W2_noise	0.1383	0.1738	0.0993	0.0390	0.3120
