#Parameter	median	upper	lower	3sig_low	3sig_up
teff	3205.6631	37.5022	45.2857	3160.3773	3243.1653
logg	5.0642	0.2518	0.3263	4.7379	5.3160
[Fe/H]	-0.1821	0.3291	0.3065	-0.4887	0.1469
dist	31.0461	0.1503	0.1557	30.8904	31.1964
rad	0.4321	0.0124	0.0091	0.4231	0.4445
Av	0.0000	(FIXED)
grav_mass	0.6854	0.5631	0.4727	0.2127	1.2485
lum	0.0177	0.0014	0.0012	0.0165	0.0192
AD	0.1296	0.0037	0.0029	0.1267	0.1333
age	0.1456	10.1854	0.1352	0.0104	13.440680084956403
iso_mas	0.4068	0.0141	0.0141	0.1245	0.4480094018137784
eep	301.3056	15.0160	120.1278	112.9233	316.3215708678264
H_noise	0.0810	0.0823	0.0554	0.0257	0.1633
J_noise	0.0652	0.1411	0.0465	0.0187	0.2063
Ks_noise	0.1089	0.1283	0.0728	0.0360	0.2372
V_noise	0.1028	0.1417	0.0676	0.0352	0.2445
B_noise	0.3203	0.4128	0.1905	0.1298	0.7331
G_noise	0.0029	0.0019	0.0016	0.0014	0.0048
RP_noise	0.0223	0.0051	0.0038	0.0185	0.0273
BP_noise	0.0143	0.0111	0.0086	0.0057	0.0254
SDSS_g_noise	0.1790	0.0787	0.0520	0.1270	0.2576
SDSS_i_noise	0.1727	0.2059	0.0997	0.0730	0.3786
SDSS_r_noise	0.0316	0.0314	0.0190	0.0126	0.0630
W1_noise	0.1026	0.1098	0.0607	0.0419	0.2124
W2_noise	0.1767	0.0832	0.0817	0.0950	0.2598
