#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4316.0513	55.6447	99.8331	4216.2183	4371.6960
logg	4.9364	0.5407	0.4956	4.4408	5.4771
[Fe/H]	-0.4757	1.0664	0.3167	-0.7924	0.5907
dist	23.9083	0.1874	0.1499	23.7585	24.0957
rad	0.6727	0.0364	0.0245	0.6482	0.7091
Av	0.0000	(FIXED)
grav_mass	1.0153	2.2166	0.9191	0.0962	3.2319
lum	0.1412	0.0172	0.0172	0.1241	0.1584
AD	0.2619	0.0138	0.0100	0.2519	0.2757
age	1.1200	7.9598	1.0793	0.0407	9.0797
iso_mass	0.7007	0.0301	0.0270	0.6737	0.7308
eep	328.7503	14.3324	61.0453	267.7049	343.0826
H_noise	0.1176	0.3792	0.1299	-0.0123	0.4968
J_noise	0.0344	0.1549	0.0453	-0.0108	0.1893
Ks_noise	0.0357	0.1593	0.0415	-0.0058	0.1950
U_noise	0.1139	0.2476	0.1152	-0.0013	0.3615
V_noise	0.0219	0.1009	0.0279	-0.0060	0.1228
B_noise	0.0744	0.3826	0.1059	-0.0315	0.4570
BT_noise	0.0884	0.3403	0.1031	-0.0148	0.4287
VT_noise	0.0333	0.1476	0.0440	-0.0108	0.1808
G_noise	0.0020	0.0047	0.0021	-0.0000	0.0067
RP_noise	0.0090	0.0260	0.0092	-0.0002	0.0350
BP_noise	0.0166	0.0210	0.0158	0.0008	0.0376
SDSS_g_noise	0.3154	0.4840	0.2083	0.1071	0.7995
W1_noise	0.1186	0.6721	0.1656	-0.0470	0.7907
W2_noise	0.0496	0.1922	0.0589	-0.0093	0.2418
