#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5129.8684	57.0422	66.2097	5063.6587	5186.9106
logg	4.6317	0.3232	0.4822	4.1495	4.9550
[Fe/H]	-0.0053	0.2531	0.3912	-0.3965	0.2478
dist	32.5778	0.3418	0.3476	32.2302	32.9197
rad	1.1494	0.0374	0.0380	1.1114	1.1867
Av	0.0000	(FIXED)
grav_mass	1.3704	2.1477	0.9441	0.4264	3.5182
lum	0.8194	0.0688	0.0642	0.7552	0.8881
AD	0.3277	0.0117	0.0109	0.3167	0.3393
age	0.0087	12.9847	0.0000	0.0087	13.489302699141687
iso_mas	0.9528	0.1221	0.0254	0.8852	1.1650682263312717
eep	409.0095	15.6266	228.3219	172.8742	432.4493545385158
H_noise	0.1693	0.1281	0.0742	0.0951	0.2974
J_noise	0.0792	0.0908	0.0475	0.0317	0.1700
Ks_noise	0.0990	0.1004	0.0586	0.0404	0.1994
V_noise	0.0211	0.0186	0.0110	0.0101	0.0397
B_noise	0.0967	0.1297	0.0549	0.0419	0.2264
BT_noise	0.0743	0.0784	0.0440	0.0302	0.1527
VT_noise	0.0461	0.0561	0.0281	0.0180	0.1022
G_noise	0.0037	0.0024	0.0018	0.0018	0.0060
RP_noise	0.0207	0.0142	0.0106	0.0101	0.0349
BP_noise	0.0214	0.0103	0.0088	0.0126	0.0317
SDSS_g_noise	0.0633	0.0744	0.0396	0.0237	0.1377
SDSS_i_noise	0.1400	0.2293	0.0931	0.0469	0.3693
SDSS_r_noise	0.0703	0.0864	0.0439	0.0264	0.1567
W1_noise	0.3813	0.4111	0.2330	0.1483	0.7924
W2_noise	0.2361	0.2240	0.1318	0.1043	0.4601
