#Parameter	median	upper	lower	3sig_low	3sig_up
teff	4855.3188	79.1761	65.1287	4790.1900	4934.4949
logg	4.5042	0.2572	0.2572	4.2470	4.7614
[Fe/H]	-0.0011	0.0751	0.0947	-0.0958	0.0741
dist	45.6152	0.5776	0.6461	44.9691	46.1927
rad	0.7504	0.0234	0.0239	0.7265	0.7739
Av	0.0241	0.0514	0.0642	-0.0401	0.0755
grav_mass	0.5713	0.4801	0.2473	0.3240	1.0515
lum	0.2821	0.0261	0.0229	0.2592	0.3082
AD	0.1530	0.0054	0.0051	0.1479	0.1584
age	5.8536	4.8043	5.3431	0.5105	10.6579
iso_mass	0.7834	0.0372	0.0262	0.7572	0.8206
eep	340.2203	13.9493	36.4829	303.7374	354.1697
H_noise	0.0647	0.2497	0.0681	-0.0034	0.3145
J_noise	0.0249	0.1331	0.0326	-0.0078	0.1580
Ks_noise	0.0346	0.1669	0.0410	-0.0065	0.2015
V_noise	0.1700	0.9255	0.2239	-0.0539	1.0955
B_noise	0.0560	0.1972	0.0558	0.0002	0.2532
BT_noise	0.1207	0.4616	0.1271	-0.0064	0.5823
VT_noise	0.0380	0.2329	0.0526	-0.0146	0.2709
G_noise	0.0024	0.0058	0.0024	0.0000	0.0082
RP_noise	0.0060	0.0274	0.0072	-0.0012	0.0334
BP_noise	0.0264	0.0224	0.0146	0.0118	0.0488
SDSS_g_noise	0.0782	0.4383	0.1119	-0.0337	0.5165
SDSS_i_noise	0.0517	0.1209	0.0380	0.0137	0.1726
SDSS_r_noise	0.0357	0.1445	0.0399	-0.0041	0.1803
W1_noise	0.0681	0.2550	0.0739	-0.0058	0.3231
W2_noise	0.0330	0.1559	0.0382	-0.0053	0.1888
NUV_noise	0.1685	0.2494	0.1662	0.0022	0.4179
TESS_noise	0.0083	0.0468	0.0107	-0.0024	0.0551
