#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5245.5837	93.1041	82.0578	5163.5258	5338.6878
logg	4.4842	0.6116	0.9833	3.5009	5.0958
[Fe/H]	0.0029	0.4504	0.7959	-0.7929	0.4533
dist	110.8770	2.9954	2.8706	108.0064	113.8724
rad	0.8536	0.0365	0.0326	0.8210	0.8901
Av	0.0213	0.0556	0.0613	-0.0401	0.0769
grav_mass	0.2242	1.2310	0.1698	0.0544	1.4552
lum	0.4989	0.0546	0.0513	0.4475	0.5535
AD	0.0717	0.0034	0.0035	0.0682	0.0751
age	5.1201	4.0736	4.3770	0.7431	9.1938
iso_mass	0.8875	0.0584	0.0601	0.8274	0.9458
eep	347.3130	13.3606	36.3409	310.9721	360.6736
H_noise	0.0801	0.1784	0.0790	0.0010	0.2585
J_noise	0.0301	0.1448	0.0381	-0.0080	0.1748
Ks_noise	0.0354	0.1831	0.0450	-0.0096	0.2185
V_noise	0.0432	0.1204	0.0401	0.0031	0.1635
B_noise	0.0963	0.2218	0.0851	0.0112	0.3181
BT_noise	0.1366	0.6086	0.1630	-0.0264	0.7452
VT_noise	0.1178	0.5108	0.1386	-0.0209	0.6286
G_noise	0.0024	0.0047	0.0023	0.0001	0.0071
RP_noise	0.0049	0.0075	0.0044	0.0004	0.0124
BP_noise	0.0133	0.0082	0.0095	0.0037	0.0214
SDSS_g_noise	0.0678	0.1542	0.0596	0.0082	0.2220
SDSS_i_noise	0.0751	0.3019	0.0894	-0.0143	0.3770
SDSS_r_noise	0.0443	0.1523	0.0484	-0.0041	0.1966
W1_noise	0.0406	0.1776	0.0527	-0.0121	0.2182
W2_noise	0.0501	0.1386	0.0545	-0.0044	0.1887
