#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5247.4406	46.7190	43.2583	5204.1823	5294.1596
logg	4.3047	0.4053	0.3756	3.9291	4.7099
[Fe/H]	-0.1227	0.2864	0.3137	-0.4365	0.1637
dist	110.9598	1.5191	1.4490	109.5109	112.4789
rad	0.8542	0.0184	0.0180	0.8361	0.8725
Av	0.0187	0.0289	0.0315	-0.0127	0.0476
grav_mass	0.4053	0.6531	0.2375	0.1678	1.0584
lum	0.4984	0.0287	0.0257	0.4727	0.5271
AD	0.0717	0.0017	0.0019	0.0698	0.0734
age	5.1201	4.0736	4.3770	0.0931	13.007391083949019
iso_mas	0.8875	0.0584	0.0601	0.7570	1.0136683273888918
eep	347.3130	13.3606	36.3409	222.7920	382.5850280333516
H_noise	0.1163	0.1011	0.0589	0.0574	0.2174
J_noise	0.0692	0.0771	0.0407	0.0285	0.1464
Ks_noise	0.0918	0.0874	0.0597	0.0321	0.1792
V_noise	0.0723	0.0613	0.0354	0.0369	0.1336
B_noise	0.1547	0.0973	0.0814	0.0734	0.2520
BT_noise	0.2893	0.3500	0.1801	0.1091	0.6392
VT_noise	0.2684	0.2498	0.1614	0.1070	0.5182
G_noise	0.0033	0.0021	0.0017	0.0017	0.0055
RP_noise	0.0060	0.0035	0.0026	0.0034	0.0096
BP_noise	0.0125	0.0050	0.0043	0.0083	0.0176
SDSS_g_noise	0.1054	0.0770	0.0496	0.0558	0.1824
SDSS_i_noise	0.1532	0.1675	0.0944	0.0588	0.3207
SDSS_r_noise	0.0811	0.0797	0.0454	0.0357	0.1608
W1_noise	0.0913	0.0906	0.0555	0.0357	0.1819
W2_noise	0.0833	0.0719	0.0475	0.0358	0.1552
