#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5752.0290	152.1600	253.6000	5498.4290	5904.1890
logg	4.2273	0.6403	0.5763	3.6511	4.8676
[Fe/H]	0.0151	0.2823	0.3152	-0.3001	0.2973
dist	14.1199	0.1670	0.1529	13.9670	14.2869
rad	1.0505	0.1227	0.0818	0.9687	1.1732
Av	0.0000	(FIXED)
grav_mass	0.4192	1.3047	0.3262	0.0931	1.7239
lum	1.0509	0.3137	0.2282	0.8227	1.3646
AD	0.6903	0.0843	0.0527	0.6377	0.7746
age	2.6778	7.0110	2.4269	0.2509	9.6888
iso_mass	1.0349	0.1101	0.1261	0.9088	1.1450
eep	345.1884	77.1595	30.1543	315.0341	422.3479
H_noise	0.2797	1.2889	0.3749	-0.0953	1.5686
U_noise	0.0482	0.2130	0.0568	-0.0086	0.2611
V_noise	0.0113	0.0390	0.0121	-0.0008	0.0503
B_noise	0.0335	0.0380	0.0310	0.0025	0.0716
BT_noise	0.0253	0.1245	0.0301	-0.0048	0.1498
VT_noise	0.0178	0.0692	0.0214	-0.0035	0.0871
b_noise	0.0292	0.1298	0.0358	-0.0066	0.1590
u_noise	0.7722	0.2303	0.1749	0.5974	1.0025
v_noise	0.1331	0.1719	0.1036	0.0294	0.3050
y_noise	0.0427	0.1338	0.0452	-0.0025	0.1766
