#Parameter	median	upper	lower	3sig_low	3sig_up
teff	5716.7325	97.4717	137.8869	5578.8456	5814.2042
logg	4.2301	0.3314	0.3314	3.8987	4.5615
[Fe/H]	0.0078	0.1552	0.1770	-0.1692	0.1630
dist	14.1256	0.0903	0.0888	14.0368	14.2159
rad	1.0630	0.0725	0.0483	1.0147	1.1355
Av	0.0000	(FIXED)
grav_mass	0.5866	0.7142	0.3278	0.2588	1.3008
lum	1.0743	0.1806	0.1295	0.9448	1.2549
AD	0.6999	0.0485	0.0313	0.6686	0.7484
age	2.6778	7.0110	2.4269	0.0262	13.419028962526587
iso_mas	1.0349	0.1101	0.1261	0.8188	1.4172301670458105
eep	345.1884	77.1595	30.1543	195.3038	460.4841803475815
H_noise	0.5742	0.7895	0.3599	0.2143	1.3636
U_noise	0.1030	0.1142	0.0620	0.0410	0.2171
V_noise	0.0199	0.0212	0.0111	0.0089	0.0411
B_noise	0.0343	0.0220	0.0159	0.0184	0.0563
BT_noise	0.0600	0.0628	0.0365	0.0236	0.1229
VT_noise	0.0350	0.0385	0.0220	0.0130	0.0735
b_noise	0.0606	0.0742	0.0388	0.0217	0.1348
u_noise	0.7924	0.1181	0.1042	0.6883	0.9105
v_noise	0.1564	0.0919	0.0647	0.0917	0.2483
y_noise	0.0730	0.0754	0.0412	0.0317	0.1483
